,ranking,name,position,age,nation,club,value,matches,goals,assist,yellowcard,redcard,subsin,subsout,league
43,44.0,Federico Valverde,Central Midfield,23.0,Uruguay,Real Madrid,€65.00m,33,1,1,2,0,14,8,LaLiga
44,45.0,Christopher Nkunku,Attacking Midfield,24.0,France,RB Leipzig,€65.00m,40,26,15,2,0,3,15,Bundesliga
45,46.0,Gianluigi Donnarumma,Goalkeeper,23.0,Italy,Paris Saint-Germain,€65.00m,20,0,0,3,0,0,0,Ligue 1
46,47.0,Andrew Robertson,Left-Back,28.0,Scotland,Liverpool FC,€65.00m,34,1,13,5,1,3,3,Premier League
47,48.0,Milan Skriniar,Centre-Back,27.0,Slovakia,Inter Milan,€65.00m,38,4,0,4,0,0,0,Serie A
48,49.0,Raphaël Varane,Centre-Back,28.0,France,Manchester United,€65.00m,25,0,1,1,0,3,3,Premier League
49,50.0,Thibaut Courtois,Goalkeeper,29.0,Belgium,Real Madrid,€65.00m,40,0,0,1,0,0,0,LaLiga
50,51.0,Gavi,Central Midfield,17.0,Spain,FC Barcelona,€60.00m,40,2,5,10,1,10,22,LaLiga
51,52.0,Ansu Fati,Left Winger,19.0,Spain,FC Barcelona,€60.00m,10,5,1,0,0,6,5,LaLiga
52,53.0,Jules Koundé,Centre-Back,23.0,France,Sevilla FC,€60.00m,36,1,1,3,2,3,1,LaLiga
53,54.0,Victor Osimhen,Centre-Forward,23.0,Nigeria,SSC Napoli,€60.00m,25,15,4,5,1,5,12,Serie A
54,55.0,Éder Militão,Centre-Back,24.0,Brazil,Real Madrid,€60.00m,39,2,2,6,1,0,1,LaLiga
55,56.0,Gabriel Jesus,Centre-Forward,24.0,Brazil,Manchester City,€60.00m,29,6,10,2,0,10,7,Premier League
56,57.0,Diogo Jota,Centre-Forward,25.0,Portugal,Liverpool FC,€60.00m,41,20,4,6,0,10,20,Premier League
57,58.0,Alessandro Bastoni,Centre-Back,22.0,Italy,Inter Milan,€60.00m,37,1,3,6,0,1,15,Serie A
58,59.0,Marcos Llorente,Central Midfield,27.0,Spain,Atlético de Madrid,€60.00m,30,0,3,4,0,1,8,LaLiga
59,60.0,Wilfred Ndidi,Defensive Midfield,25.0,Nigeria,Leicester City,€60.00m,35,2,1,6,0,2,4,Premier League
60,61.0,Kingsley Coman,Right Winger,25.0,France,Bayern Munich,€60.00m,27,7,6,2,0,6,17,Bundesliga
61,62.0,Fabinho,Defensive Midfield,28.0,Brazil,Liverpool FC,€60.00m,35,6,1,5,0,4,6,Premier League
62,63.0,João Cancelo,Right-Back,27.0,Portugal,Manchester City,€60.00m,39,3,8,7,0,1,3,Premier League
63,64.0,Jan Oblak,Goalkeeper,29.0,Slovenia,Atlético de Madrid,€60.00m,41,0,0,2,0,0,0,LaLiga
64,65.0,Alisson,Goalkeeper,29.0,Brazil,Liverpool FC,€60.00m,38,0,1,0,0,0,0,Premier League
65,66.0,Lionel Messi,Right Winger,34.0,Argentina,Paris Saint-Germain,€60.00m,26,7,11,1,0,2,2,Ligue 1
66,67.0,Eduardo Camavinga,Central Midfield,19.0,France,Real Madrid,€55.00m,39,4,1,9,0,23,9,LaLiga
67,68.0,Jamal Musiala,Attacking Midfield,19.0,Germany,Bayern Munich,€55.00m,33,6,6,2,0,17,10,Bundesliga
68,69.0,Reece James,Right-Back,22.0,England,Chelsea FC,€55.00m,26,6,7,5,1,6,3,Premier League
69,70.0,Moussa Diaby,Left Winger,22.0,France,Bayer 04 Leverkusen,€55.00m,35,16,9,9,0,1,14,Bundesliga
70,71.0,Richarlison,Centre-Forward,24.0,Brazil,Everton FC,€55.00m,23,5,3,6,0,3,6,Premier League
71,72.0,Fabián Ruiz,Central Midfield,25.0,Spain,SSC Napoli,€55.00m,31,6,4,5,0,4,13,Serie A
72,73.0,Youri Tielemans,Central Midfield,24.0,Belgium,Leicester City,€55.00m,37,7,3,2,0,3,9,Premier League
73,74.0,Virgil van Dijk,Centre-Back,30.0,Netherlands,Liverpool FC,€55.00m,39,3,1,2,0,0,0,Premier League
74,75.0,Paul Pogba,Central Midfield,29.0,France,Manchester United,€55.00m,24,1,9,7,1,5,9,Premier League
75,76.0,Marco Verratti,Central Midfield,29.0,Italy,Paris Saint-Germain,€55.00m,26,2,1,12,0,1,10,Ligue 1
76,77.0,David Alaba,Centre-Back,29.0,Austria,Real Madrid,€55.00m,39,2,4,4,0,0,3,LaLiga
77,78.0,Jonathan David,Centre-Forward,22.0,Canada,LOSC Lille,€50.00m,39,17,0,2,0,4,20,Ligue 1
78,79.0,Mason Greenwood,Right Winger,20.0,England,Manchester United,€50.00m,24,6,2,2,0,4,14,Premier League
79,80.0,Amine Gouiri,Centre-Forward,22.0,France,OGC Nice,€50.00m,38,14,10,4,0,4,16,Ligue 1
80,81.0,Pau Torres,Centre-Back,25.0,Spain,Villarreal CF,€50.00m,38,5,0,4,0,0,1,LaLiga
81,82.0,Carlos Soler,Central Midfield,25.0,Spain,Valencia CF,€50.00m,30,11,5,4,0,6,8,LaLiga
82,83.0,Rafael Leão,Left Winger,22.0,Portugal,AC Milan,€50.00m,35,11,8,4,0,6,20,Serie A
83,84.0,Arnaut Danjuma,Left Winger,25.0,Netherlands,Villarreal CF,€50.00m,28,13,4,2,0,6,12,LaLiga
84,85.0,Mikel Merino,Central Midfield,25.0,Spain,Real Sociedad,€50.00m,35,4,3,8,0,0,9,LaLiga
85,86.0,James Maddison,Attacking Midfield,25.0,England,Leicester City,€50.00m,40,13,7,6,0,12,15,Premier League
86,87.0,Ferland Mendy,Left-Back,26.0,France,Real Madrid,€50.00m,26,1,2,7,0,2,7,LaLiga
87,88.0,Lucas Hernández,Centre-Back,26.0,France,Bayern Munich,€50.00m,29,0,1,8,0,1,13,Bundesliga
88,89.0,José María Giménez,Centre-Back,27.0,Uruguay,Atlético de Madrid,€50.00m,28,0,1,8,1,1,5,LaLiga
89,90.0,Ederson,Goalkeeper,28.0,Brazil,Manchester City,€50.00m,36,0,0,3,0,0,1,Premier League
90,91.0,N'Golo Kanté,Defensive Midfield,31.0,France,Chelsea FC,€50.00m,31,2,4,2,0,9,11,Premier League
91,92.0,Piotr Zielinski,Attacking Midfield,27.0,Poland,SSC Napoli,€50.00m,36,7,5,2,0,5,23,Serie A
92,93.0,Timo Werner,Centre-Forward,26.0,Germany,Chelsea FC,€50.00m,29,8,4,1,0,13,8,Premier League
93,94.0,Antoine Griezmann,Second Striker,31.0,France,Atlético de Madrid,€50.00m,29,8,5,2,1,7,14,LaLiga
94,95.0,Robert Lewandowski,Centre-Forward,33.0,Poland,Bayern Munich,€50.00m,37,45,4,2,0,0,6,Bundesliga
95,96.0,Casemiro,Defensive Midfield,30.0,Brazil,Real Madrid,€50.00m,38,0,4,14,0,2,8,LaLiga
96,97.0,Theo Hernández,Left-Back,24.0,France,AC Milan,€48.00m,33,4,10,7,1,2,2,Serie A
97,98.0,Harry Maguire,Centre-Back,29.0,England,Manchester United,€48.00m,31,2,0,7,0,1,2,Premier League
98,99.0,Ferran Torres,Right Winger,22.0,Spain,FC Barcelona,€45.00m,22,10,6,1,0,1,10,LaLiga
99,100.0,Dayot Upamecano,Centre-Back,23.0,France,Bayern Munich,€45.00m,30,1,4,6,0,4,3,Bundesliga
100,101.0,Tammy Abraham,Centre-Forward,24.0,England,AS Roma,€45.00m,40,23,4,9,0,3,16,Serie A
101,102.0,Diego Carlos,Centre-Back,29.0,Brazil,Sevilla FC,€45.00m,37,3,0,5,0,1,4,LaLiga
102,103.0,Caglar Söyüncü,Centre-Back,25.0,Turkey,Leicester City,€45.00m,38,1,0,6,0,1,2,Premier League
103,104.0,Christian Pulisic,Right Winger,23.0,United States,Chelsea FC,€45.00m,28,6,4,2,0,12,8,Premier League
104,105.0,Dominic Calvert-Lewin,Centre-Forward,25.0,England,Everton FC,€45.00m,11,3,1,2,0,2,4,Premier League
105,106.0,Fikayo Tomori,Centre-Back,24.0,England,AC Milan,€45.00m,31,1,0,4,0,2,2,Serie A
106,107.0,Franck Kessié,Central Midfield,25.0,Cote d'Ivoire,AC Milan,€45.00m,35,7,1,1,0,6,9,Serie A
107,108.0,Dani Olmo,Attacking Midfield,23.0,Spain,RB Leipzig,€45.00m,20,4,5,1,0,10,10,Bundesliga
108,109.0,Lorenzo Pellegrini,Attacking Midfield,25.0,Italy,AS Roma,€45.00m,30,11,5,3,0,4,11,Serie A
109,110.0,Tomas Soucek,Defensive Midfield,27.0,Czech Republic,West Ham United,€45.00m,43,6,1,3,0,3,4,Premier League
110,111.0,Ángel Correa,Second Striker,27.0,Argentina,Atlético de Madrid,€45.00m,40,12,6,4,1,17,16,LaLiga
111,112.0,Aymeric Laporte,Centre-Back,27.0,Spain,Manchester City,€45.00m,31,3,0,6,1,1,6,Premier League
112,113.0,Memphis Depay,Centre-Forward,28.0,Netherlands,FC Barcelona,€45.00m,30,11,2,4,0,7,4,LaLiga
113,114.0,Jorginho,Defensive Midfield,30.0,Italy,Chelsea FC,€45.00m,39,9,3,5,0,6,13,Premier League
114,115.0,Kalidou Koulibaly,Centre-Back,30.0,Senegal,SSC Napoli,€45.00m,32,2,3,7,1,0,1,Serie A
115,116.0,Marc-André ter Stegen,Goalkeeper,29.0,Germany,FC Barcelona,€45.00m,39,0,0,3,0,0,1,LaLiga
116,117.0,Mateo Kovacic,Central Midfield,27.0,Croatia,Chelsea FC,€45.00m,36,2,5,6,0,8,14,Premier League
117,118.0,Giovanni Reyna,Attacking Midfield,19.0,United States,Borussia Dortmund,€42.00m,11,2,2,0,0,4,6,Bundesliga
118,119.0,Martin Ødegaard,Attacking Midfield,23.0,Norway,Arsenal FC,€42.00m,31,6,4,3,0,4,13,Premier League
