,ranking,name,position,age,nation,club,value,matches,goals,assist,yellowcard,redcard,subsin,subsout,league
215,216.0,Davinson Sánchez,Centre-Back,25.0,Colombia,Tottenham Hotspur,€30.00m,27,2,0,5,0,5,0,Premier League
216,217.0,Merih Demiral,Centre-Back,24.0,Turkey,Atalanta BC,€30.00m,33,2,2,10,0,2,8,Serie A
217,218.0,Gianluca Scamacca,Centre-Forward,23.0,Italy,US Sassuolo,€30.00m,30,13,1,6,0,11,12,Serie A
218,219.0,Naby Keïta,Central Midfield,27.0,Guinea,Liverpool FC,€30.00m,28,4,1,3,0,9,14,Premier League
219,220.0,Ousmane Dembélé,Right Winger,24.0,France,FC Barcelona,€30.00m,21,2,9,1,0,11,6,LaLiga
220,221.0,Manuel Akanji,Centre-Back,26.0,Switzerland,Borussia Dortmund,€30.00m,30,0,0,2,0,2,3,Bundesliga
221,222.0,Angeliño,Left Midfield,25.0,Spain,RB Leipzig,€30.00m,34,2,11,3,0,2,5,Bundesliga
222,223.0,Joan Jordán,Central Midfield,27.0,Spain,Sevilla FC,€30.00m,41,1,1,6,0,10,21,LaLiga
223,224.0,Renato Sanches,Central Midfield,24.0,Portugal,LOSC Lille,€30.00m,25,1,5,4,0,4,12,Ligue 1
224,225.0,Ruslan Malinovskyi,Attacking Midfield,28.0,Ukraine,Atalanta BC,€30.00m,34,10,4,7,0,9,21,Serie A
225,226.0,John McGinn,Central Midfield,27.0,Scotland,Aston Villa,€30.00m,28,3,3,7,0,0,3,Premier League
226,227.0,Lucas Ocampos,Left Winger,27.0,Argentina,Sevilla FC,€30.00m,34,8,4,11,0,6,11,LaLiga
227,228.0,Sébastien Haller,Centre-Forward,27.0,Cote d'Ivoire,Ajax Amsterdam,€30.00m,40,34,10,6,0,1,13,Eredivisie
228,229.0,Leander Dendoncker,Defensive Midfield,26.0,Belgium,Wolverhampton Wanderers,€30.00m,29,2,4,4,0,9,4,Premier League
229,230.0,Álvaro Morata,Centre-Forward,29.0,Spain,Juventus FC,€30.00m,41,11,7,4,0,11,22,Serie A
230,231.0,Lucas Digne,Left-Back,28.0,France,Aston Villa,€30.00m,23,1,1,5,0,1,2,Premier League
231,232.0,Ciro Immobile,Centre-Forward,32.0,Italy,SS Lazio,€30.00m,35,26,4,4,0,1,11,Serie A
232,233.0,Duván Zapata,Centre-Forward,30.0,Colombia,Atalanta BC,€30.00m,23,12,7,4,0,4,10,Serie A
233,234.0,Gabriel Martinelli,Left Winger,20.0,Brazil,Arsenal FC,€28.00m,27,6,4,2,0,7,9,Premier League
234,235.0,Benoît Badiashile,Centre-Back,21.0,France,AS Monaco,€28.00m,32,0,1,6,0,4,5,Ligue 1
235,236.0,Dominik Szoboszlai,Left Winger,21.0,Hungary,RB Leipzig,€28.00m,33,8,7,2,0,16,12,Bundesliga
236,237.0,Giacomo Raspadori,Centre-Forward,22.0,Italy,US Sassuolo,€28.00m,31,9,5,6,0,5,14,Serie A
237,238.0,Nico Schlotterbeck,Centre-Back,22.0,Germany,SC Freiburg,€28.00m,30,4,0,4,0,0,4,Bundesliga
238,239.0,Evan Ndicka,Centre-Back,22.0,France,Eintracht Frankfurt,€28.00m,33,3,3,4,0,1,0,Bundesliga
239,240.0,Moise Kean,Centre-Forward,22.0,Italy,Juventus FC,€28.00m,34,5,2,3,1,21,12,Serie A
240,241.0,Boubakary Soumaré,Defensive Midfield,23.0,France,Leicester City,€28.00m,29,0,1,2,0,12,8,Premier League
241,242.0,Sergio Reguilón,Left-Back,25.0,Spain,Tottenham Hotspur,€28.00m,29,2,3,4,0,4,11,Premier League
242,243.0,Timothy Castagne,Right-Back,26.0,Belgium,Leicester City,€28.00m,22,1,0,1,0,4,1,Premier League
243,244.0,Mario Pasalic,Central Midfield,27.0,Croatia,Atalanta BC,€28.00m,38,10,9,5,0,13,20,Serie A
244,245.0,Adama Traoré,Right Winger,26.0,Spain,FC Barcelona,€28.00m,33,1,4,0,0,15,13,LaLiga
245,246.0,John Stones,Centre-Back,27.0,England,Manchester City,€28.00m,20,2,0,1,0,3,1,Premier League
246,247.0,Anthony Martial,Centre-Forward,26.0,France,Sevilla FC,€28.00m,19,2,1,0,0,9,9,LaLiga
247,248.0,Nathan Aké,Centre-Back,27.0,Netherlands,Manchester City,€28.00m,20,3,0,1,0,5,4,Premier League
248,249.0,Andrea Belotti,Centre-Forward,28.0,Italy,Torino FC,€28.00m,16,4,1,0,0,5,9,Serie A
249,250.0,Wissam Ben Yedder,Centre-Forward,31.0,France,AS Monaco,€28.00m,44,24,6,1,0,12,21,Ligue 1
250,251.0,Mauro Icardi,Centre-Forward,29.0,Argentina,Paris Saint-Germain,€28.00m,29,5,0,1,0,16,5,Ligue 1
251,252.0,Charles De Ketelaere,Attacking Midfield,21.0,Belgium,Club Brugge KV,€27.00m,44,17,9,6,0,1,14,Jupiler Pro League
252,253.0,Ismaïla Sarr,Right Winger,24.0,Senegal,Watford FC,€27.00m,19,6,2,2,0,3,4,Premier League
253,254.0,Denis Zakaria,Defensive Midfield,25.0,Switzerland,Juventus FC,€27.00m,24,3,1,5,0,3,3,Serie A
254,255.0,Donyell Malen,Centre-Forward,23.0,Netherlands,Borussia Dortmund,€27.00m,38,8,6,1,0,11,22,Bundesliga
255,256.0,Nikola Vlasic,Attacking Midfield,24.0,Croatia,West Ham United,€27.00m,34,1,3,0,0,16,16,Premier League
256,257.0,Xaver Schlager,Central Midfield,24.0,Austria,VfL Wolfsburg,€27.00m,9,0,1,1,0,1,7,Bundesliga
257,258.0,Matteo Politano,Right Winger,28.0,Italy,SSC Napoli,€27.00m,33,3,7,2,0,14,19,Serie A
258,259.0,João Palhinha,Defensive Midfield,26.0,Portugal,Sporting CP,€26.00m,33,3,0,8,1,6,12,Liga Portugal
259,260.0,Gabriel Barbosa,Centre-Forward,25.0,Brazil,Clube de Regatas do Flamengo,€26.00m,11,9,1,4,0,1,2,
260,261.0,Joaquín Correa,Second Striker,27.0,Argentina,Inter Milan,€26.00m,25,4,1,3,0,17,8,Serie A
261,262.0,Konrad Laimer,Central Midfield,24.0,Austria,RB Leipzig,€26.00m,31,3,3,2,0,11,18,Bundesliga
262,263.0,Pedro Porro,Right-Back,22.0,Spain,Sporting CP,€25.00m,28,4,7,10,0,7,13,Liga Portugal
263,264.0,Bryan Gil,Left Winger,21.0,Spain,Valencia CF,€25.00m,34,1,5,6,0,14,13,LaLiga
264,265.0,Roger Ibañez,Centre-Back,23.0,Brazil,AS Roma,€25.00m,38,4,0,10,0,4,1,Serie A
265,266.0,Renan Lodi,Left-Back,23.0,Brazil,Atlético de Madrid,€25.00m,33,4,4,3,0,19,10,LaLiga
266,267.0,Emerson Royal,Right-Back,23.0,Brazil,Tottenham Hotspur,€25.00m,35,0,1,3,0,12,7,Premier League
267,268.0,Nico González,Central Midfield,20.0,Spain,FC Barcelona,€25.00m,38,2,2,7,0,20,12,LaLiga
268,269.0,Gabriel,Centre-Back,24.0,Brazil,Arsenal FC,€25.00m,29,3,0,4,0,1,2,Premier League
269,270.0,Cody Gakpo,Left Winger,22.0,Netherlands,PSV Eindhoven,€25.00m,37,16,15,2,0,5,18,Eredivisie
270,271.0,Aaron Ramsdale,Goalkeeper,23.0,England,Arsenal FC,€25.00m,29,0,0,1,0,0,0,Premier League
271,272.0,Martín Zubimendi,Defensive Midfield,23.0,Spain,Real Sociedad,€25.00m,39,2,2,6,0,13,3,LaLiga
272,273.0,Ezri Konsa,Centre-Back,24.0,England,Aston Villa,€25.00m,25,2,0,3,1,1,2,Premier League
273,274.0,Yves Bissouma,Central Midfield,25.0,Mali,Brighton & Hove Albion,€25.00m,26,1,2,9,0,3,7,Premier League
274,275.0,Boubacar Kamara,Defensive Midfield,22.0,France,Olympique Marseille,€25.00m,36,1,0,8,0,5,6,Ligue 1
275,276.0,Teun Koopmeiners,Defensive Midfield,24.0,Netherlands,Atalanta BC,€25.00m,39,4,4,3,0,12,6,Serie A
276,277.0,Rodrigo Bentancur,Central Midfield,24.0,Uruguay,Tottenham Hotspur,€25.00m,35,0,4,3,0,10,15,Premier League
277,278.0,Nordi Mukiele,Right-Back,24.0,France,RB Leipzig,€25.00m,29,2,2,2,0,7,8,Bundesliga
278,279.0,Ben Godfrey,Centre-Back,24.0,England,Everton FC,€25.00m,23,0,0,6,0,0,3,Premier League
279,280.0,Guido Rodríguez,Defensive Midfield,27.0,Argentina,Real Betis Balompié,€25.00m,38,2,3,9,0,5,6,LaLiga
280,281.0,Noa Lang,Left Winger,22.0,Netherlands,Club Brugge KV,€25.00m,40,8,13,10,1,5,16,Jupiler Pro League
281,282.0,Weston McKennie,Central Midfield,23.0,United States,Juventus FC,€25.00m,28,4,0,1,0,7,7,Serie A
282,283.0,Takehiro Tomiyasu,Right-Back,23.0,Japan,Arsenal FC,€25.00m,20,0,1,2,0,1,3,Premier League
283,284.0,Saïd Benrahma,Left Winger,26.0,Algeria,West Ham United,€25.00m,41,9,6,0,0,14,20,Premier League
284,285.0,Donny van de Beek,Central Midfield,24.0,Netherlands,Everton FC,€25.00m,20,1,0,2,0,11,4,Premier League
285,286.0,Mario Hermoso,Centre-Back,26.0,Spain,Atlético de Madrid,€25.00m,32,2,1,6,1,5,11,LaLiga
286,287.0,Viktor Tsygankov,Right Winger,24.0,Ukraine,Dynamo Kyiv,€25.00m,26,11,4,3,0,2,12,Premier Liga
287,288.0,Aleksandr Golovin,Attacking Midfield,25.0,Russia,AS Monaco,€25.00m,31,3,6,6,1,16,12,Ligue 1
288,289.0,Davide Calabria,Right-Back,25.0,Italy,AC Milan,€25.00m,25,2,3,2,0,3,6,Serie A
289,290.0,Unai Simón,Goalkeeper,24.0,Spain,Athletic Bilbao,€25.00m,28,0,0,2,0,0,1,LaLiga
290,291.0,Amir Rrahmani,Centre-Back,28.0,Kosovo,SSC Napoli,€25.00m,36,3,0,8,0,2,1,Serie A
291,292.0,Gianluca Mancini,Centre-Back,25.0,Italy,AS Roma,€25.00m,36,1,0,17,0,0,5,Serie A
292,293.0,Joe Gomez,Centre-Back,24.0,England,Liverpool FC,€25.00m,15,0,0,1,0,8,0,Premier League
293,294.0,Iñaki Williams,Centre-Forward,27.0,Spain,Athletic Bilbao,€25.00m,35,7,3,4,0,6,11,LaLiga
294,295.0,Rafa Silva,Right Midfield,28.0,Portugal,SL Benfica,€25.00m,43,12,17,6,0,9,19,Liga Portugal
295,296.0,Nélson Semedo,Right-Back,28.0,Portugal,Wolverhampton Wanderers,€25.00m,29,1,1,1,0,2,6,Premier League
296,297.0,Otávio,Right Midfield,27.0,Portugal,FC Porto,€25.00m,42,7,13,13,0,2,24,Liga Portugal
297,298.0,Thilo Kehrer,Centre-Back,25.0,Germany,Paris Saint-Germain,€25.00m,29,2,0,3,0,10,5,Ligue 1
298,299.0,Ricardo Pereira,Right-Back,28.0,Portugal,Leicester City,€25.00m,18,1,2,4,0,3,6,Premier League
299,300.0,Dele Alli,Attacking Midfield,25.0,England,Everton FC,€25.00m,24,2,1,3,0,11,7,Premier League
300,301.0,Oleksandr Zinchenko,Left-Back,25.0,Ukraine,Manchester City,€25.00m,20,0,2,2,0,6,1,Premier League
301,302.0,Jonathan Tah,Centre-Back,26.0,Germany,Bayer 04 Leverkusen,€25.00m,36,2,3,4,0,1,2,Bundesliga
302,303.0,Julian Brandt,Attacking Midfield,25.0,Germany,Borussia Dortmund,€25.00m,33,5,9,2,0,8,17,Bundesliga
303,304.0,Mike Maignan,Goalkeeper,26.0,France,AC Milan,€25.00m,30,0,1,2,0,0,0,Serie A
304,305.0,Sardar Azmoun,Centre-Forward,27.0,Iran,Bayer 04 Leverkusen,€25.00m,26,10,4,2,1,10,7,Bundesliga
305,306.0,Giovanni Di Lorenzo,Right-Back,28.0,Italy,SSC Napoli,€25.00m,39,1,5,5,0,0,3,Serie A
306,307.0,Iñigo Martínez,Centre-Back,30.0,Spain,Athletic Bilbao,€25.00m,28,4,0,8,1,1,1,LaLiga
307,308.0,Lorenzo Insigne,Left Winger,30.0,Italy,SSC Napoli,€25.00m,30,9,7,1,0,3,24,Serie A
308,309.0,Jordan Pickford,Goalkeeper,28.0,England,Everton FC,€25.00m,28,0,0,1,0,0,0,Premier League
309,310.0,Conor Coady,Centre-Back,29.0,England,Wolverhampton Wanderers,€25.00m,35,3,0,2,0,1,2,Premier League
310,311.0,Abdoulaye Doucouré,Central Midfield,29.0,Mali,Everton FC,€25.00m,24,2,4,4,0,2,1,Premier League
311,312.0,Michael Keane,Centre-Back,29.0,England,Everton FC,€25.00m,31,2,2,1,0,1,2,Premier League
312,313.0,Kyle Walker,Right-Back,31.0,England,Manchester City,€25.00m,27,1,2,3,1,0,3,Premier League
313,314.0,Pablo Sarabia,Right Winger,29.0,Spain,Sporting CP,€25.00m,40,15,9,6,0,7,25,Liga Portugal
314,315.0,Thomas Müller,Second Striker,32.0,Germany,Bayern Munich,€25.00m,38,12,22,0,0,2,19,Bundesliga
315,316.0,Toni Kroos,Central Midfield,32.0,Germany,Real Madrid,€25.00m,32,3,3,5,0,2,12,LaLiga
316,317.0,Karim Benzema,Centre-Forward,34.0,France,Real Madrid,€25.00m,34,32,13,0,0,0,12,LaLiga
317,318.0,William Saliba,Centre-Back,21.0,France,Olympique Marseille,€24.00m,46,0,0,6,0,1,2,Ligue 1
318,319.0,Vitinha,Central Midfield,22.0,Portugal,FC Porto,€24.00m,43,3,3,6,0,11,19,Liga Portugal
319,320.0,Nicolás González,Left Winger,23.0,Argentina,ACF Fiorentina,€24.00m,29,3,8,0,0,9,10,Serie A
320,321.0,Amadou Haidara,Central Midfield,24.0,Mali,RB Leipzig,€24.00m,32,4,1,2,0,12,11,Bundesliga
321,322.0,Eljif Elmas,Attacking Midfield,22.0,North Macedonia,SSC Napoli,€24.00m,39,6,6,3,0,20,9,Serie A
322,323.0,Victor Lindelöf,Centre-Back,27.0,Sweden,Manchester United,€24.00m,28,0,2,3,0,2,2,Premier League
323,324.0,Remo Freuler,Central Midfield,29.0,Switzerland,Atalanta BC,€24.00m,36,2,6,5,0,2,8,Serie A
324,325.0,Matthias Ginter,Centre-Back,28.0,Germany,Borussia Mönchengladbach,€24.00m,27,1,0,1,0,0,2,Bundesliga
325,326.0,Julián Álvarez,Centre-Forward,22.0,Argentina,CA River Plate,€23.00m,7,5,0,0,0,0,2,
326,327.0,Mohamed Camara,Defensive Midfield,22.0,Mali,Red Bull Salzburg,€23.00m,31,0,3,9,0,3,10,Bundesliga
327,328.0,Nikola Milenkovic,Centre-Back,24.0,Serbia,ACF Fiorentina,€23.00m,31,4,0,7,0,1,3,Serie A
328,329.0,Lukas Klostermann,Centre-Back,25.0,Germany,RB Leipzig,€23.00m,27,0,2,2,0,4,8,Bundesliga
329,330.0,Nico Elvedi,Centre-Back,25.0,Switzerland,Borussia Mönchengladbach,€23.00m,26,1,1,2,0,0,1,Bundesliga
330,331.0,Dwight McNeil,Left Winger,22.0,England,Burnley FC,€22.00m,29,0,1,2,0,1,5,Premier League
331,332.0,Fábio Silva,Centre-Forward,19.0,Portugal,Wolverhampton Wanderers,€22.00m,28,3,6,3,0,15,10,Premier League
332,333.0,Conor Gallagher,Central Midfield,22.0,England,Crystal Palace,€22.00m,35,9,7,10,0,1,7,Premier League
333,334.0,Jérémy Doku,Right Winger,19.0,Belgium,Stade Rennais FC,€22.00m,16,2,2,2,0,9,7,Ligue 1
334,335.0,Max Aarons,Right-Back,22.0,England,Norwich City,€22.00m,33,0,1,8,0,3,4,Premier League
335,336.0,Mattéo Guendouzi,Central Midfield,22.0,France,Olympique Marseille,€22.00m,44,4,14,8,0,4,7,Ligue 1
336,337.0,Matty Cash,Right-Back,24.0,Poland,Aston Villa,€22.00m,32,3,4,8,0,0,4,Premier League
337,338.0,Francisco Trincão,Right Winger,22.0,Portugal,Wolverhampton Wanderers,€22.00m,25,2,1,0,0,11,13,Premier League
338,339.0,Marc Guéhi,Centre-Back,21.0,England,Crystal Palace,€22.00m,39,5,0,4,0,1,0,Premier League
339,340.0,Hamed Junior Traorè,Attacking Midfield,22.0,Cote d'Ivoire,US Sassuolo,€22.00m,26,5,4,3,0,9,16,Serie A
340,341.0,Sasa Kalajdzic,Centre-Forward,24.0,Austria,VfB Stuttgart,€22.00m,10,3,2,1,0,3,0,Bundesliga
341,342.0,Patson Daka,Centre-Forward,23.0,Zambia,Leicester City,€22.00m,28,10,4,1,0,11,13,Premier League
342,343.0,Daichi Kamada,Attacking Midfield,25.0,Japan,Eintracht Frankfurt,€22.00m,34,7,2,0,0,6,16,Bundesliga
343,344.0,Giovani Lo Celso,Central Midfield,25.0,Argentina,Villarreal CF,€22.00m,28,1,2,0,0,10,12,LaLiga
344,345.0,Joe Willock,Central Midfield,22.0,England,Newcastle United,€22.00m,26,2,0,0,0,5,14,Premier League
345,346.0,Jonathan Ikoné,Right Winger,23.0,France,ACF Fiorentina,€22.00m,37,2,4,5,0,16,19,Serie A
346,347.0,Christoph Baumgartner,Attacking Midfield,22.0,Austria,TSG 1899 Hoffenheim,€22.00m,26,6,2,6,0,6,13,Bundesliga
347,348.0,Malcom,Right Winger,25.0,Brazil,Zenit St. Petersburg,€22.00m,27,7,7,1,0,4,15,Premier Liga
348,349.0,Brahim Díaz,Attacking Midfield,22.0,Spain,AC Milan,€22.00m,33,4,4,5,0,6,24,Serie A
349,350.0,Demarai Gray,Left Winger,25.0,England,Everton FC,€22.00m,28,6,3,3,0,5,16,Premier League
350,351.0,Florian Neuhaus,Central Midfield,25.0,Germany,Borussia Mönchengladbach,€22.00m,25,4,2,1,0,6,7,Bundesliga
351,352.0,Joachim Andersen,Centre-Back,25.0,Denmark,Crystal Palace,€22.00m,30,0,1,3,0,2,1,Premier League
352,353.0,Daniel Podence,Right Winger,26.0,Portugal,Wolverhampton Wanderers,€22.00m,28,6,3,2,0,10,13,Premier League
353,354.0,Jan Bednarek,Centre-Back,25.0,Poland,Southampton FC,€22.00m,28,3,0,7,0,2,5,Premier League
354,355.0,Abdou Diallo,Left-Back,25.0,Senegal,Paris Saint-Germain,€22.00m,23,1,1,3,0,2,3,Ligue 1
355,356.0,Álex Remiro,Goalkeeper,27.0,Spain,Real Sociedad,€22.00m,33,0,0,1,0,0,0,LaLiga
356,357.0,Raúl Jiménez,Centre-Forward,30.0,Mexico,Wolverhampton Wanderers,€22.00m,30,6,4,5,0,5,7,Premier League
357,358.0,Julian Weigl,Defensive Midfield,26.0,Germany,SL Benfica,€22.00m,42,3,5,9,0,4,7,Liga Portugal
358,359.0,Fred,Central Midfield,29.0,Brazil,Manchester United,€22.00m,31,3,6,8,0,4,11,Premier League
359,360.0,Ante Rebic,Left Winger,28.0,Croatia,AC Milan,€22.00m,23,3,2,3,0,14,6,Serie A
360,361.0,Eric Dier,Centre-Back,28.0,England,Tottenham Hotspur,€22.00m,31,0,0,1,0,1,1,Premier League
361,362.0,James Tarkowski,Centre-Back,29.0,England,Burnley FC,€22.00m,27,1,2,9,0,0,0,Premier League
362,363.0,Jordan Veretout,Central Midfield,29.0,France,AS Roma,€22.00m,39,4,9,7,0,8,21,Serie A
363,364.0,Lewis Dunk,Centre-Back,30.0,England,Brighton & Hove Albion,€22.00m,22,1,0,1,1,1,0,Premier League
364,365.0,Danny Ings,Centre-Forward,29.0,England,Aston Villa,€22.00m,24,5,5,2,0,5,12,Premier League
365,366.0,Luis Muriel,Centre-Forward,30.0,Colombia,Atalanta BC,€22.00m,29,8,6,1,0,13,15,Serie A
366,367.0,Marcel Sabitzer,Central Midfield,28.0,Austria,Bayern Munich,€22.00m,27,1,0,2,0,19,6,Bundesliga
367,368.0,Kevin Volland,Second Striker,29.0,Germany,AS Monaco,€22.00m,43,12,9,9,0,6,26,Ligue 1
368,369.0,Lucas Moura,Right Winger,29.0,Brazil,Tottenham Hotspur,€22.00m,37,6,6,3,0,13,17,Premier League
369,370.0,Thiago,Central Midfield,30.0,Spain,Liverpool FC,€22.00m,24,2,2,1,0,10,12,Premier League
370,371.0,Georginio Wijnaldum,Central Midfield,31.0,Netherlands,Paris Saint-Germain,€22.00m,31,3,3,2,0,11,13,Ligue 1
371,372.0,Yussuf Poulsen,Centre-Forward,27.0,Denmark,RB Leipzig,€21.00m,29,6,3,3,0,15,11,Bundesliga
372,373.0,Kamaldeen Sulemana,Left Winger,20.0,Ghana,Stade Rennais FC,€20.00m,30,5,2,4,0,12,17,Ligue 1
373,374.0,Evanilson,Centre-Forward,22.0,Brazil,FC Porto,€20.00m,37,18,5,4,0,8,19,Liga Portugal
374,375.0,Hugo Ekitike,Centre-Forward,19.0,France,Stade Reims,€20.00m,26,10,4,1,2,8,11,Ligue 1
375,376.0,Odilon Kossounou,Centre-Back,21.0,Cote d'Ivoire,Bayer 04 Leverkusen,€20.00m,30,0,2,4,0,11,4,Bundesliga
376,377.0,Rayan Cherki,Attacking Midfield,18.0,France,Olympique Lyon,€20.00m,29,8,5,3,0,16,9,Ligue 1
377,378.0,Thiago Almada,Attacking Midfield,20.0,Argentina,Atlanta United FC,€20.00m,3,1,0,0,0,3,0,
378,379.0,Sofiane Diop,Left Winger,21.0,France,AS Monaco,€20.00m,49,12,11,6,0,14,23,Ligue 1
379,380.0,Pape Sarr,Defensive Midfield,19.0,Senegal,FC Metz,€20.00m,26,1,1,6,0,10,5,
380,381.0,Illan Meslier,Goalkeeper,22.0,France,Leeds United,€20.00m,40,0,0,2,0,0,1,Premier League
381,382.0,Enock Mwepu,Central Midfield,24.0,Zambia,Brighton & Hove Albion,€20.00m,16,2,5,1,0,5,7,Premier League
382,383.0,Musa Barrow,Left Winger,23.0,The Gambia,Bologna FC 1909,€20.00m,33,7,7,0,0,8,16,Serie A
383,384.0,Jeremie Frimpong,Right-Back,21.0,Netherlands,Bayer 04 Leverkusen,€20.00m,38,2,8,8,0,1,16,Bundesliga
384,385.0,Juan Foyth,Right-Back,24.0,Argentina,Villarreal CF,€20.00m,27,0,0,4,0,2,6,LaLiga
385,386.0,Eberechi Eze,Attacking Midfield,23.0,England,Crystal Palace,€20.00m,11,0,0,1,0,5,6,Premier League
386,387.0,David Neres,Right Winger,25.0,Brazil,Shakhtar Donetsk,€20.00m,22,4,2,1,0,16,2,Premier Liga
387,388.0,Maxence Lacroix,Centre-Back,21.0,France,VfL Wolfsburg,€20.00m,30,0,0,6,2,0,2,Bundesliga
388,389.0,Oliver Skipp,Defensive Midfield,21.0,England,Tottenham Hotspur,€20.00m,32,0,0,7,0,7,8,Premier League
389,390.0,Samuel Chukwueze,Right Winger,22.0,Nigeria,Villarreal CF,€20.00m,29,6,2,3,0,17,10,LaLiga
390,391.0,Dodô,Right-Back,23.0,Brazil,Shakhtar Donetsk,€20.00m,26,0,4,2,0,1,1,Premier Liga
391,392.0,Edson Álvarez,Defensive Midfield,24.0,Mexico,Ajax Amsterdam,€20.00m,34,2,1,8,0,0,14,Eredivisie
392,393.0,Maxence Caqueret,Central Midfield,22.0,France,Olympique Lyon,€20.00m,44,1,1,7,0,6,9,Ligue 1
393,394.0,Davide Frattesi,Central Midfield,22.0,Italy,US Sassuolo,€20.00m,31,4,3,4,0,3,22,Serie A
394,395.0,Brenden Aaronson,Attacking Midfield,21.0,United States,Red Bull Salzburg,€20.00m,35,5,10,0,0,5,9,Bundesliga
395,396.0,Alexis Saelemaekers,Right Winger,22.0,Belgium,AC Milan,€20.00m,40,2,3,4,0,16,16,Serie A
396,397.0,Tetê,Right Winger,22.0,Brazil,Shakhtar Donetsk,€20.00m,28,10,2,4,0,8,14,Premier Liga
397,398.0,Arthur,Central Midfield,25.0,Brazil,Juventus FC,€20.00m,26,0,1,3,0,12,7,Serie A
398,399.0,Pablo Fornals,Attacking Midfield,26.0,Spain,West Ham United,€20.00m,42,6,4,4,0,12,16,Premier League
399,400.0,Ché Adams,Centre-Forward,25.0,Scotland,Southampton FC,€20.00m,27,8,3,0,0,6,10,Premier League
400,401.0,Noussair Mazraoui,Right-Back,24.0,Morocco,Ajax Amsterdam,€20.00m,31,5,4,3,0,1,12,Eredivisie
401,402.0,Todd Cantwell,Left Midfield,24.0,England,AFC Bournemouth,€20.00m,19,1,0,4,0,5,7,Championship
402,403.0,Ridle Baku,Right Midfield,23.0,Germany,VfL Wolfsburg,€20.00m,34,4,3,4,0,6,12,Bundesliga
403,404.0,Denzel Dumfries,Right Midfield,25.0,Netherlands,Inter Milan,€20.00m,37,4,6,2,0,14,9,Serie A
404,405.0,Marcus Thuram,Left Winger,24.0,France,Borussia Mönchengladbach,€20.00m,21,2,1,2,0,12,6,Bundesliga
405,406.0,Lucas Torreira,Defensive Midfield,26.0,Uruguay,ACF Fiorentina,€20.00m,28,4,1,5,0,3,11,Serie A
406,407.0,Kelechi Iheanacho,Centre-Forward,25.0,Nigeria,Leicester City,€20.00m,36,7,10,4,0,17,11,Premier League
407,408.0,Borna Sosa,Left-Back,24.0,Croatia,VfB Stuttgart,€20.00m,24,2,8,3,0,0,2,Bundesliga
408,409.0,Jonathan Bamba,Left Winger,26.0,France,LOSC Lille,€20.00m,31,1,3,5,0,2,17,Ligue 1
409,410.0,Yerry Mina,Centre-Back,27.0,Colombia,Everton FC,€20.00m,11,1,0,2,0,3,2,Premier League
410,411.0,Marc Cucurella,Left-Back,23.0,Spain,Brighton & Hove Albion,€20.00m,31,0,2,4,0,4,3,Premier League
411,412.0,Kasper Dolberg,Centre-Forward,24.0,Denmark,OGC Nice,€20.00m,25,7,1,0,0,9,13,Ligue 1
412,413.0,Paul Onuachu,Centre-Forward,27.0,Nigeria,KRC Genk,€20.00m,35,18,3,5,0,5,18,Jupiler Pro League
413,414.0,Antonin Barak,Attacking Midfield,27.0,Czech Republic,Hellas Verona,€20.00m,29,11,4,3,0,3,8,Serie A
414,415.0,Ricardo Horta,Left Winger,27.0,Portugal,SC Braga,€20.00m,40,19,8,5,0,2,7,Liga Portugal
415,416.0,Gregor Kobel,Goalkeeper,24.0,Switzerland,Borussia Dortmund,€20.00m,38,0,0,0,0,0,1,Bundesliga
416,417.0,Wilmar Barrios,Defensive Midfield,28.0,Colombia,Zenit St. Petersburg,€20.00m,28,0,1,6,0,3,5,Premier Liga
417,418.0,Juan Musso,Goalkeeper,27.0,Argentina,Atalanta BC,€20.00m,37,0,0,1,1,0,0,Serie A
418,419.0,Aritz Elustondo,Centre-Back,28.0,Spain,Real Sociedad,€20.00m,35,4,1,5,1,6,2,LaLiga
419,420.0,Wout Weghorst,Centre-Forward,29.0,Netherlands,Burnley FC,€20.00m,33,8,3,5,0,1,8,Premier League
420,421.0,André Gomes,Central Midfield,28.0,Portugal,Everton FC,€20.00m,17,1,2,6,0,8,5,Premier League
421,422.0,Neal Maupay,Centre-Forward,25.0,France,Brighton & Hove Albion,€20.00m,30,9,2,6,0,5,4,Premier League
422,423.0,Jérémie Boga,Left Winger,25.0,Cote d'Ivoire,Atalanta BC,€20.00m,24,2,4,0,0,12,9,Serie A
423,424.0,Ruben Loftus-Cheek,Central Midfield,26.0,England,Chelsea FC,€20.00m,27,0,4,3,0,16,2,Premier League
424,425.0,Bryan Cristante,Defensive Midfield,27.0,Italy,AS Roma,€20.00m,38,3,1,8,0,9,0,Serie A
425,426.0,Alessio Romagnoli,Centre-Back,27.0,Italy,AC Milan,€20.00m,25,1,1,4,1,3,2,Serie A
426,427.0,Alejandro Grimaldo,Left-Back,26.0,Spain,SL Benfica,€20.00m,42,6,8,6,0,2,12,Liga Portugal
427,428.0,Héctor Bellerín,Right-Back,27.0,Spain,Real Betis Balompié,€20.00m,27,0,4,2,1,2,2,LaLiga
428,429.0,Patrick Bamford,Centre-Forward,28.0,England,Leeds United,€20.00m,11,2,3,1,0,3,3,Premier League
