,ranking,name,position,age,nation,club,value,matches,goals,assist,yellowcard,redcard,subsin,subsout
57,58,Alessandro Bastoni,Centre-Back,22,Italy,Inter Milan,€60.00m,37,1,3,6,0,1,15
58,59,Marcos Llorente,Central Midfield,27,Spain,Atlético de Madrid,€60.00m,30,0,3,4,0,1,8
59,60,Wilfred Ndidi,Defensive Midfield,25,Nigeria,Leicester City,€60.00m,35,2,1,6,0,2,4
60,61,Kingsley Coman,Right Winger,25,France,Bayern Munich,€60.00m,27,7,6,2,0,6,17
61,62,Fabinho,Defensive Midfield,28,Brazil,Liverpool FC,€60.00m,35,6,1,5,0,4,6
62,63,João Cancelo,Right-Back,27,Portugal,Manchester City,€60.00m,39,3,8,7,0,1,3
63,64,Jan Oblak,Goalkeeper,29,Slovenia,Atlético de Madrid,€60.00m,41,0,0,2,0,0,0
64,65,Alisson,Goalkeeper,29,Brazil,Liverpool FC,€60.00m,38,0,1,0,0,0,0
65,66,Lionel Messi,Right Winger,34,Argentina,Paris Saint-Germain,€60.00m,26,7,11,1,0,2,2
66,67,Eduardo Camavinga,Central Midfield,19,France,Real Madrid,€55.00m,39,4,1,9,0,23,9
67,68,Jamal Musiala,Attacking Midfield,19,Germany,Bayern Munich,€55.00m,33,6,6,2,0,17,10
68,69,Reece James,Right-Back,22,England,Chelsea FC,€55.00m,26,6,7,5,1,6,3
69,70,Moussa Diaby,Left Winger,22,France,Bayer 04 Leverkusen,€55.00m,35,16,9,9,0,1,14
70,71,Richarlison,Centre-Forward,24,Brazil,Everton FC,€55.00m,23,5,3,6,0,3,6
71,72,Fabián Ruiz,Central Midfield,25,Spain,SSC Napoli,€55.00m,31,6,4,5,0,4,13
72,73,Youri Tielemans,Central Midfield,24,Belgium,Leicester City,€55.00m,37,7,3,2,0,3,9
73,74,Virgil van Dijk,Centre-Back,30,Netherlands,Liverpool FC,€55.00m,39,3,1,2,0,0,0
74,75,Paul Pogba,Central Midfield,29,France,Manchester United,€55.00m,24,1,9,7,1,5,9
75,76,Marco Verratti,Central Midfield,29,Italy,Paris Saint-Germain,€55.00m,26,2,1,12,0,1,10
76,77,David Alaba,Centre-Back,29,Austria,Real Madrid,€55.00m,39,2,4,4,0,0,3
